Date (Capture local),Time (Capture local),Donde estoy,numero de arbol,Username,Device Id,Latitude,Longitude,Save Target,Submitted (UTC),Timestamp (UTC),Time Offset,Version,Observation Id,Session Id,Track Filename, Health
2025-11-27,10:50:49,PHOTO_20251127_105041.jpg,15,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064331667,-73.11395,,2025/11/27 15:56:06,2025/11/27 15:50:49,-05:00,2025112701,a808bf35-46de-47ce-be05-d6278cdcfcc5,5995856e-e186-4823-a979-5fb5472e9aa7,FILE_20251127_105049.zip, 4
2025-11-27,10:50:30,PHOTO_20251127_105021.jpg,13,Germán,ct:62bdcb91bc6b20da0000000000000000,7.0643,-73.11387667,,2025/11/27 15:56:04,2025/11/27 15:50:30,-05:00,2025112701,af7fcf0a-b0b0-4f05-a457-d98970092b31,ecefb20d-0c58-4880-bcee-96238e740af2,FILE_20251127_105030.zip, 4
2025-11-27,10:50:09,PHOTO_20251127_105000.jpg,11,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064271667,-73.11381333,,2025/11/27 15:56:02,2025/11/27 15:50:09,-05:00,2025112701,15a28781-accc-4692-b4bf-8d3adad8ce7b,59e43d7f-0e4a-4555-b08d-a0053c697f69,FILE_20251127_105009.zip, 4
2025-11-27,10:49:51,PHOTO_20251127_104944.jpg,9,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064255,-73.11369667,,2025/11/27 15:56:00,2025/11/27 15:49:51,-05:00,2025112701,ee840658-b1ea-4fde-b969-9c220c02ceb2,7315d036-0845-47d5-9fa7-81727bbf6dd2,FILE_20251127_104951.zip, 4
2025-11-27,10:49:32,PHOTO_20251127_104923.jpg,7,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064233333,-73.11360667,,2025/11/27 15:55:58,2025/11/27 15:49:32,-05:00,2025112701,2f746240-1122-4ce7-b8f8-d2baae814b09,6cd6b794-1b71-4c9b-8005-7904aee4adf0,FILE_20251127_104932.zip, 4
2025-11-27,10:48:41,PHOTO_20251127_104832.jpg,5,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064216667,-73.11343667,,2025/11/27 15:55:56,2025/11/27 15:48:41,-05:00,2025112701,048e054f-0c24-40f4-8cd3-86846f9337c8,5963f6c2-3e7c-4336-9128-1a0168959447,FILE_20251127_104841.zip, 4
2025-11-27,10:48:19,PHOTO_20251127_104811.jpg,3,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064216667,-73.113325,,2025/11/27 15:55:55,2025/11/27 15:48:19,-05:00,2025112701,5b7a5cc1-54b4-48a3-b9c7-0c1229aa95c0,5a7db68f-6c9e-4870-9e4f-167a4d6c5e67,FILE_20251127_104819.zip, 3
2025-11-27,10:48:02,PHOTO_20251127_104753.jpg,1,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064228333,-73.11324667,,2025/11/27 15:55:53,2025/11/27 15:48:02,-05:00,2025112701,568df212-c21a-432d-bcb3-51ce9b8969c4,aa81e6f9-a9b6-461a-8a97-ff74e15599f9,FILE_20251127_104802.zip, 2
2025-11-27,10:47:42,PHOTO_20251127_104730.jpg,0,Germán,ct:62bdcb91bc6b20da0000000000000000,7.064231667,-73.11314,,2025/11/27 15:55:51,2025/11/27 15:47:42,-05:00,2025112701,fe59401f-3911-4523-8ca1-6fe869363b8f,f2254e6c-2e6f-46d0-adf8-f41fae841a4f,FILE_20251127_104742.zip, 1
